[nasa_power]
10177,2025-01-01 00:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.00
10176,2025-01-01 01:00:00,28.53,75.17,0.0,3.1,nasa_power,18.25,0.00
10178,2025-01-01 01:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10175,2025-01-01 02:00:00,29.27,76.33,0.0,4.3,nasa_power,48.70,0.00
10179,2025-01-01 02:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10174,2025-01-01 03:00:00,29.6,75.5,0.0,3.3,nasa_power,22.01,0.00
10180,2025-01-01 03:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10173,2025-01-01 04:00:00,28.73,68.67,0.0,3.7,nasa_power,31.02,0.00
10181,2025-01-01 04:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10172,2025-01-01 05:00:00,29.27,68.83,0.0,2.8,nasa_power,13.45,0.00
10182,2025-01-01 05:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10171,2025-01-01 06:00:00,29.2,66.0,0.36,2.6,nasa_power,10.77,0.00
10183,2025-01-01 06:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10170,2025-01-01 07:00:00,29.33,64.17,0.65,2.5,nasa_power,9.57,0.00
10184,2025-01-01 07:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10169,2025-01-01 08:00:00,30.27,66.33,1.42,3.8,nasa_power,33.61,0.01
10185,2025-01-01 08:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10168,2025-01-01 09:00:00,30.0,62.5,1.98,3.5,nasa_power,26.26,0.01
10186,2025-01-01 09:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10167,2025-01-01 10:00:00,31.33,66.67,2.67,3.0,nasa_power,16.54,0.01
10187,2025-01-01 10:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10166,2025-01-01 11:00:00,31.07,62.83,3.44,2.7,nasa_power,12.06,0.01
10188,2025-01-01 11:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10165,2025-01-01 12:00:00,32.2,66.0,3.65,3.1,nasa_power,18.25,0.02
10189,2025-01-01 12:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10164,2025-01-01 13:00:00,31.07,62.83,3.21,2.7,nasa_power,12.06,0.01
10190,2025-01-01 13:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10163,2025-01-01 14:00:00,30.73,63.67,2.46,3.7,nasa_power,31.02,0.01
10191,2025-01-01 14:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10162,2025-01-01 15:00:00,31.6,70.5,2.1,4.3,nasa_power,48.70,0.01
10192,2025-01-01 15:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10161,2025-01-01 16:00:00,31.47,72.33,1.39,3.4,nasa_power,24.07,0.01
10193,2025-01-01 16:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10160,2025-01-01 17:00:00,30.53,70.17,0.63,3.1,nasa_power,18.25,0.00
10194,2025-01-01 17:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10159,2025-01-01 18:00:00,30.4,72.0,0.38,4.2,nasa_power,45.38,0.00
10195,2025-01-01 18:00:00,28.0,75.0,0.0,3.0,nasa_power,16.54,0.0
10158,2025-01-01 19:00:00,29.27,68.83,0.0,2.8,nasa_power,13.45,0.00
