id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
151227,2025-02-01 00:00:00,27.7,69.0,0,1.0,meteostat,0.61,0
151228,2025-02-01 01:00:00,30.0,62.0,0,2.6111112,meteostat,10.90,0
151229,2025-02-01 02:00:00,30.0,62.0,0,4.111111,meteostat,42.56,0
151230,2025-02-01 03:00:00,31.7,58.0,0,3.0,meteostat,16.54,0
151231,2025-02-01 04:00:00,32.0,56.0,0,4.111111,meteostat,42.56,0
151232,2025-02-01 05:00:00,32.0,52.0,0,4.111111,meteostat,42.56,0
151233,2025-02-01 06:00:00,31.7,56.0,0,5.0,meteostat,76.56,0
151234,2025-02-01 07:00:00,33.0,52.0,0,4.111111,meteostat,42.56,0
151235,2025-02-01 08:00:00,32.0,56.0,0,3.1111112,meteostat,18.44,0
151236,2025-02-01 09:00:00,31.6,55.0,0,4.0,meteostat,39.20,0
151237,2025-02-01 10:00:00,30.0,62.0,0,4.111111,meteostat,42.56,0
151238,2025-02-01 11:00:00,29.0,66.0,0,3.1111112,meteostat,18.44,0
151239,2025-02-01 12:00:00,28.7,68.0,0,3.0,meteostat,16.54,0
151240,2025-02-01 13:00:00,28.0,74.0,0,2.1111112,meteostat,5.76,0
151241,2025-02-01 14:00:00,27.0,79.0,0,2.1111112,meteostat,5.76,0
151242,2025-02-01 15:00:00,26.7,85.0,0,2.0,meteostat,4.90,0
151243,2025-02-01 16:00:00,26.0,89.0,0,1.5,meteostat,2.07,0
151244,2025-02-01 17:00:00,26.0,89.0,0,1.0,meteostat,0.61,0
151245,2025-02-01 18:00:00,25.7,91.0,0,2.0,meteostat,4.90,0
151246,2025-02-01 19:00:00,26.0,84.0,0,1.5,meteostat,2.07,0
151247,2025-02-01 20:00:00,25.0,94.0,0,1.0,meteostat,0.61,0
151248,2025-02-01 21:00:00,25.1,88.0,0,1.0,meteostat,0.61,0
151249,2025-02-01 22:00:00,25.0,84.0,0,0.5,meteostat,0.08,0
151250,2025-02-01 23:00:00,25.0,84.0,0,1.5,meteostat,2.07,0
151251,2025-02-02 00:00:00,27.1,76.0,0,2.0,meteostat,4.90,0
151252,2025-02-02 01:00:00,29.0,66.0,0,1.0,meteostat,0.61,0
151253,2025-02-02 02:00:00,30.0,62.0,0,1.0,meteostat,0.61,0
151254,2025-02-02 03:00:00,30.6,69.0,0,1.0,meteostat,0.61,0
151255,2025-02-02 04:00:00,32.0,56.0,0,3.1111112,meteostat,18.44,0
151256,2025-02-02 05:00:00,33.0,56.0,0,3.1111112,meteostat,18.44,0
151257,2025-02-02 06:00:00,32.8,56.0,0,4.0,meteostat,39.20,0
151258,2025-02-02 07:00:00,32.0,59.0,0,3.6111112,meteostat,28.84,0
151259,2025-02-02 08:00:00,33.0,56.0,0,2.6111112,meteostat,10.90,0
151260,2025-02-02 09:00:00,32.0,58.0,0,4.0,meteostat,39.20,0
151261,2025-02-02 10:00:00,31.0,62.0,0,2.6111112,meteostat,10.90,0
151262,2025-02-02 11:00:00,30.0,70.0,0,2.6111112,meteostat,10.90,0
151263,2025-02-02 12:00:00,29.3,70.0,0,3.0,meteostat,16.54,0
151264,2025-02-02 13:00:00,29.0,74.0,0,2.1111112,meteostat,5.76,0
151265,2025-02-02 14:00:00,28.0,79.0,0,2.1111112,meteostat,5.76,0
151266,2025-02-02 15:00:00,27.5,83.0,0,2.0,meteostat,4.90,0
151267,2025-02-02 16:00:00,27.0,89.0,0,1.0,meteostat,0.61,0
151268,2025-02-02 17:00:00,27.0,84.0,0,1.5,meteostat,2.07,0
151269,2025-02-02 18:00:00,26.6,90.0,0,1.0,meteostat,0.61,0
151270,2025-02-02 19:00:00,26.0,94.0,0,2.1111112,meteostat,5.76,0
151271,2025-02-02 20:00:00,26.0,94.0,0,1.0,meteostat,0.61,0
151272,2025-02-02 21:00:00,26.2,87.0,0,1.0,meteostat,0.61,0
151273,2025-02-02 22:00:00,26.0,89.0,0,0.5,meteostat,0.08,0
151274,2025-02-02 23:00:00,26.0,89.0,0,0.5,meteostat,0.08,0
151275,2025-02-03 00:00:00,28.5,76.0,0,1.0,meteostat,0.61,0
151276,2025-02-03 01:00:00,28.0,79.0,0,1.5,meteostat,2.07,0
151277,2025-02-03 02:00:00,28.0,74.0,0,2.6111112,meteostat,10.90,0
151278,2025-02-03 03:00:00,29.4,72.0,0,2.0,meteostat,4.90,0
151279,2025-02-03 04:00:00,29.0,74.0,0,2.6111112,meteostat,10.90,0
151280,2025-02-03 05:00:00,29.0,70.0,0,3.6111112,meteostat,28.84,0
151281,2025-02-03 06:00:00,30.4,64.0,0,2.0,meteostat,4.90,0
151282,2025-02-03 07:00:00,31.0,62.0,0,2.6111112,meteostat,10.90,0
151283,2025-02-03 08:00:00,32.0,59.0,0,2.6111112,meteostat,10.90,0
151284,2025-02-03 09:00:00,30.6,63.0,0,4.0,meteostat,39.20,0
151285,2025-02-03 10:00:00,29.0,70.0,0,3.6111112,meteostat,28.84,0
151286,2025-02-03 11:00:00,29.0,70.0,0,3.6111112,meteostat,28.84,0
151287,2025-02-03 12:00:00,28.0,72.0,0,3.0,meteostat,16.54,0
151288,2025-02-03 13:00:00,28.0,74.0,0,3.1111112,meteostat,18.44,0
151289,2025-02-03 14:00:00,28.0,74.0,0,2.6111112,meteostat,10.90,0
151290,2025-02-03 15:00:00,27.2,76.0,0,3.0,meteostat,16.54,0
151291,2025-02-03 16:00:00,27.0,79.0,0,2.6111112,meteostat,10.90,0
151292,2025-02-03 17:00:00,27.0,79.0,0,2.6111112,meteostat,10.90,0
